name,symbol,token_id,price,market_cap,volume_24h,change_24h,total_supply,icon
DIA,DIA,398,0.8020748297203169,88723595.89236943,36175952.00988229,-0.0464205,110617604.0,https://s2.coinmarketcap.com/static/img/coins/64x64/6138.png
Seedify.fund,SFUND,393,1.4433220156553723,89622485.46881437,2053014.77466938,7.23717343,62094587.69193602,https://s2.coinmarketcap.com/static/img/coins/64x64/8972.png
Helium Mobile,MOBILE,399,0.000999190556361008,88383239.45993946,1909588.86780948,11.06901342,88454838666.43607,https://s2.coinmarketcap.com/static/img/coins/64x64/24600.png
Staika,STIK,400,2.0139344515406665,87635907.46569735,251258.40202166,-2.07969432,43514776.4609,https://s2.coinmarketcap.com/static/img/coins/64x64/23951.png
Hooked Protocol,HOOK,401,0.4480893793359591,87376943.72365205,18059534.36162701,7.17995494,194998917.075739,https://s2.coinmarketcap.com/static/img/coins/64x64/22764.png
Tectum,TET,402,11.441439546848798,86941861.8464956,729079.34308568,13.44493732,7598856.89999919,https://s2.coinmarketcap.com/static/img/coins/64x64/21964.png
Dent,DENT,403,0.0008665436086948369,86654360.86948363,2125382.52114749,6.25134983,99999999999.99994,https://s2.coinmarketcap.com/static/img/coins/64x64/1886.png
STP,STPT,404,0.044521946619653786,86480332.15386388,4194514.50852053,4.60128121,1942420283.027067,https://s2.coinmarketcap.com/static/img/coins/64x64/4006.png
Braintrust,BTRST,405,0.36750906189132165,86013587.46110544,136356.97077767,2.74050999,234044807.0,https://s2.coinmarketcap.com/static/img/coins/64x64/11584.png
WINkLink,WIN,408,8.623924304950679e-05,85696096.15803719,17360782.45638265,2.97702695,993701859243.3864,https://s2.coinmarketcap.com/static/img/coins/64x64/4206.png
Moonriver,MOVR,407,9.335730486731007,85809665.51216362,2616820.84761273,4.57530622,9191532.0,https://s2.coinmarketcap.com/static/img/coins/64x64/9285.png
Steem,STEEM,409,0.18034468561686262,85404018.33268046,15392225.67125007,6.48995337,473559939.072,https://s2.coinmarketcap.com/static/img/coins/64x64/1230.png
Huobi Token,HT,406,0.5289536516686623,85814184.2080441,254779.92658691,1.62769485,162233844.0,https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png
MiL.k,MLK,410,0.21576359952753013,84890314.55656202,3129848.77296778,4.48929381,393441316.06281686,https://s2.coinmarketcap.com/static/img/coins/64x64/5266.png
Kyber Network Crystal v2,KNC,411,0.456266776737909,84815387.21153153,11716855.71671772,5.86308657,185889903.74868256,https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png
Ark,ARK,414,0.46050628299227886,84741995.02817507,100548915.2267374,12.63165195,184019194.0,https://s2.coinmarketcap.com/static/img/coins/64x64/1586.png
RSS3,RSS3,412,0.1256128897256213,84778232.61462909,2669020.70939031,9.4545974,674916665.0,https://s2.coinmarketcap.com/static/img/coins/64x64/17917.png
Mother Iggy,MOTHER,413,0.08595030481922777,84759304.70833927,14544620.77298015,14.06709547,986143154.31,https://s2.coinmarketcap.com/static/img/coins/64x64/31510.png
Oraichain,ORAI,415,6.103537744274792,84373474.71553144,1449407.3903656,3.60606164,13823700.0,https://s2.coinmarketcap.com/static/img/coins/64x64/7533.png
Phala Network,PHA,416,0.11100357174511911,83915700.99722426,3498968.81823527,5.56186731,755972980.6704537,https://s2.coinmarketcap.com/static/img/coins/64x64/6841.png
