post_id,token_symbol,content,user_id,created_at,retweets,replies,likes,conversation_id,in_reply_to_user_id,source,geo,entities,username,sentiment,score
1843661955741122803,OZEAN,"RT @ClearpoolFin: 🤝 @Hex_Trust Joins Forces with Clearpool to Launch #Ozean🌊! 

Hex Trust provides fully-licensed digital asset custody, tr…",972970759416111104,2024-10-08T14:37:18+00:00,57,0,0,1843661955741122803,,,,"{""hashtags"": [{""start"": 69, ""end"": 75, ""tag"": ""Ozean""}], ""annotations"": [{""start"": 49, ""end"": 57, ""probability"": 0.3002, ""type"": ""Organization"", ""normalized_text"": ""Clearpool""}, {""start"": 80, ""end"": 88, ""probability"": 0.4764, ""type"": ""Other"", ""normalized_text"": ""Hex Trust""}], ""mentions"": [{""start"": 3, ""end"": 16, ""username"": ""ClearpoolFin"", ""id"": ""1433318597271572488""}, {""start"": 20, ""end"": 30, ""username"": ""Hex_Trust"", ""id"": ""1014482303131635712""}]}",CryptoWizardd,Positive,0.0015910676901605026
1843658309477511634,VANRY,"Insane growth at @Vanarchain 

$VANRY https://t.co/NmMpNFjZBx",972970759416111104,2024-10-08T14:22:49+00:00,59,80,468,1843658309477511634,,,,"{""annotations"": [{""start"": 32, ""end"": 36, ""probability"": 0.5055, ""type"": ""Organization"", ""normalized_text"": ""VANRY""}], ""mentions"": [{""start"": 17, ""end"": 28, ""username"": ""Vanarchain"", ""id"": ""1328704469383720968""}], ""urls"": [{""start"": 38, ""end"": 61, ""url"": ""https://t.co/NmMpNFjZBx"", ""expanded_url"": ""https://twitter.com/Vanarchain/status/1843600373539606778"", ""display_url"": ""x.com/Vanarchain/sta\u2026""}], ""cashtags"": [{""start"": 31, ""end"": 37, ""tag"": ""VANRY""}]}",CryptoWizardd,Positive,0.042443059089827484
1843542243657036291,NPC,"Elon posting his fav meme

$NPC https://t.co/etmrUqn8Wp",972970759416111104,2024-10-08T06:41:36+00:00,141,125,843,1843542243657036291,,,,"{""annotations"": [{""start"": 0, ""end"": 3, ""probability"": 0.9302, ""type"": ""Person"", ""normalized_text"": ""Elon""}, {""start"": 28, ""end"": 30, ""probability"": 0.6717, ""type"": ""Organization"", ""normalized_text"": ""NPC""}], ""urls"": [{""start"": 32, ""end"": 55, ""url"": ""https://t.co/etmrUqn8Wp"", ""expanded_url"": ""https://twitter.com/elonmusk/status/1843537210165039551"", ""display_url"": ""x.com/elonmusk/statu\u2026""}], ""cashtags"": [{""start"": 27, ""end"": 31, ""tag"": ""NPC""}]}",CryptoWizardd,Positive,0.07742119783168762
1843511522464805099,"AI, RWA, ORAI","RT @JumperWave: $ORAI non stop, pushing every development metric and topping #Ai, Big Data and #RWA sectors with Github updates - I expect…",972970759416111104,2024-10-08T04:39:32+00:00,38,0,0,1843511522464805099,,,,"{""hashtags"": [{""start"": 77, ""end"": 80, ""tag"": ""Ai""}, {""start"": 95, ""end"": 99, ""tag"": ""RWA""}], ""annotations"": [{""start"": 17, ""end"": 20, ""probability"": 0.3689, ""type"": ""Place"", ""normalized_text"": ""ORAI""}, {""start"": 78, ""end"": 79, ""probability"": 0.3925, ""type"": ""Other"", ""normalized_text"": ""Ai""}, {""start"": 96, ""end"": 98, ""probability"": 0.4226, ""type"": ""Organization"", ""normalized_text"": ""RWA""}, {""start"": 113, ""end"": 118, ""probability"": 0.4792, ""type"": ""Other"", ""normalized_text"": ""Github""}], ""mentions"": [{""start"": 3, ""end"": 14, ""username"": ""JumperWave"", ""id"": ""1292201662531211264""}], ""cashtags"": [{""start"": 16, ""end"": 21, ""tag"": ""ORAI""}]}",CryptoWizardd,Positive,0.001060711793440335
1843370053376586024,,@Daitaro01 @NonPlayableCoin 🚀,972970759416111104,2024-10-07T19:17:23+00:00,3,4,107,1843368599614029904,1.7337498345977037e+18,,,"{""mentions"": [{""start"": 0, ""end"": 10, ""username"": ""Daitaro01"", ""id"": ""1733749834597703680""}, {""start"": 11, ""end"": 27, ""username"": ""NonPlayableCoin"", ""id"": ""1682073285821972490""}]}",CryptoWizardd,Positive,0.009411068604658119
1843369968534204729,NPC,"RT @Daitaro01: $NPC

• The first memecoin-NFT hybrid - built for every human on Earth.
• Used in daily lingo worldwide.   
• One of the str…",972970759416111104,2024-10-07T19:17:03+00:00,72,0,0,1843369968534204729,,,,"{""annotations"": [{""start"": 16, ""end"": 18, ""probability"": 0.6859, ""type"": ""Organization"", ""normalized_text"": ""NPC""}, {""start"": 33, ""end"": 40, ""probability"": 0.529, ""type"": ""Other"", ""normalized_text"": ""memecoin""}, {""start"": 42, ""end"": 44, ""probability"": 0.4708, ""type"": ""Other"", ""normalized_text"": ""NFT""}, {""start"": 80, ""end"": 84, ""probability"": 0.6859, ""type"": ""Other"", ""normalized_text"": ""Earth""}], ""mentions"": [{""start"": 3, ""end"": 13, ""username"": ""Daitaro01"", ""id"": ""1733749834597703680""}], ""cashtags"": [{""start"": 15, ""end"": 19, ""tag"": ""NPC""}]}",CryptoWizardd,Positive,0.0020097697138869506
1843368352389181843,,"Anyone playing 

Throne and liberty  ?

Worth playing? https://t.co/1KVsxd128f",972970759416111104,2024-10-07T19:10:37+00:00,9,93,180,1843368352389181843,,,,"{""annotations"": [{""start"": 17, ""end"": 22, ""probability"": 0.7379, ""type"": ""Other"", ""normalized_text"": ""Throne""}, {""start"": 28, ""end"": 34, ""probability"": 0.3752, ""type"": ""Other"", ""normalized_text"": ""liberty""}], ""urls"": [{""start"": 55, ""end"": 78, ""url"": ""https://t.co/1KVsxd128f"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1843368352389181843/photo/1"", ""display_url"": ""pic.x.com/1KVsxd128f"", ""media_key"": ""16_1843368344918831104""}]}",CryptoWizardd,Positive,0.015942053700070534
1843358744031408522,CREO,Big update from $CREO https://t.co/KPH8YWrMvA,972970759416111104,2024-10-07T18:32:27+00:00,36,53,219,1843358744031408522,,,,"{""annotations"": [{""start"": 17, ""end"": 20, ""probability"": 0.6345, ""type"": ""Organization"", ""normalized_text"": ""CREO""}], ""urls"": [{""start"": 22, ""end"": 45, ""url"": ""https://t.co/KPH8YWrMvA"", ""expanded_url"": ""https://twitter.com/creo_engine/status/1843301560136466715"", ""display_url"": ""x.com/creo_engine/st\u2026""}], ""cashtags"": [{""start"": 16, ""end"": 21, ""tag"": ""CREO""}]}",CryptoWizardd,Positive,0.020095397714708984
1843358683557966139,,@creo_engine @CreoPlay_app 🔥,972970759416111104,2024-10-07T18:32:12+00:00,0,1,22,1843301560136466715,1.466264537926017e+18,,,"{""mentions"": [{""start"": 0, ""end"": 12, ""username"": ""creo_engine"", ""id"": ""1466264537926017026""}, {""start"": 13, ""end"": 26, ""username"": ""CreoPlay_app"", ""id"": ""1587659552908271616""}]}",CryptoWizardd,Positive,0.0019177684149353478
1843358553983303833,ZIG,Once $ZIG breaks out we gonna see big numbers https://t.co/QkPEAgEe7n,972970759416111104,2024-10-07T18:31:41+00:00,64,76,481,1843358553983303833,,,,"{""annotations"": [{""start"": 6, ""end"": 8, ""probability"": 0.6202, ""type"": ""Organization"", ""normalized_text"": ""ZIG""}], ""urls"": [{""start"": 46, ""end"": 69, ""url"": ""https://t.co/QkPEAgEe7n"", ""expanded_url"": ""https://twitter.com/godinnesss/status/1843338784475423166"", ""display_url"": ""x.com/godinnesss/sta\u2026""}], ""cashtags"": [{""start"": 5, ""end"": 9, ""tag"": ""ZIG""}]}",CryptoWizardd,Positive,0.04371585322171326
